hospital_name,district,upazila,latitude,longitude,category,contact
Dimla Community Clinic 01,Nilphamari,Dimla,26.126,88.926,Government,
Domar Community Clinic 01,Nilphamari,Domar,26.106,88.836,Government,
Jaldhaka Community Clinic 01,Nilphamari,Jaldhaka,25.966,88.996,Government,
Kishoreganj (Nilphamari) Community Clinic 01,Nilphamari,Kishoreganj,25.916,89.026,Government,
Saidpur Community Clinic 01,Nilphamari,Saidpur,25.776,88.896,Government,
Atwari Community Clinic 01,Panchagarh,Atwari,26.316,88.456,Government,
Boda Community Clinic 01,Panchagarh,Boda,26.196,88.606,Government,
Debiganj Community Clinic 01,Panchagarh,Debiganj,26.116,88.756,Government,
Tetulia Community Clinic 01,Panchagarh,Tetulia,26.486,88.346,Government,
Baliadangi Community Clinic 01,Thakurgaon,Baliadangi,26.106,88.276,Government,
Haripur Community Clinic 01,Thakurgaon,Haripur,25.816,88.236,Government,
Pirganj (Thakurgaon) Community Clinic 01,Thakurgaon,Pirganj,25.856,88.366,Government,
Ranisankail Community Clinic 01,Thakurgaon,Ranisankail,25.886,88.266,Government,
Badarganj Community Clinic 02,Rangpur,Badarganj,25.677,89.057,Government,
Gangachara Community Clinic 02,Rangpur,Gangachara,25.857,89.217,Government,
Kaunia Community Clinic 02,Rangpur,Kaunia,25.777,89.417,Government,
Mithapukur Community Clinic 02,Rangpur,Mithapukur,25.577,89.267,Government,
Pirgachha Community Clinic 02,Rangpur,Pirgachha,25.667,89.397,Government,
Pirganj (Rangpur) Community Clinic 02,Rangpur,Pirganj,25.417,89.317,Government,
Taraganj Community Clinic 02,Rangpur,Taraganj,25.817,89.017,Government,
Birganj Community Clinic 02,Dinajpur,Birganj,25.857,88.667,Government,
Biral Community Clinic 02,Dinajpur,Biral,25.637,88.557,Government,
Bochaganj Community Clinic 02,Dinajpur,Bochaganj,25.807,88.457,Government,
Chirirbandar Community Clinic 02,Dinajpur,Chirirbandar,25.657,88.787,Government,
Phulbari (Dinajpur) Community Clinic 02,Dinajpur,Phulbari,25.517,88.887,Government,
Ghoraghat Community Clinic 02,Dinajpur,Ghoraghat,25.247,89.287,Government,
Hakimpur Community Clinic 02,Dinajpur,Hakimpur,25.287,89.127,Government,
Kaharole Community Clinic 02,Dinajpur,Kaharole,25.797,88.597,Government,
Khansama Community Clinic 02,Dinajpur,Khansama,25.927,88.747,Government,
Nawabganj (Dinajpur) Community Clinic 02,Dinajpur,Nawabganj,25.417,89.087,Government,
Parbatipur Community Clinic 02,Dinajpur,Parbatipur,25.657,88.927,Government,
Bhurungamari Community Clinic 02,Kurigram,Bhurungamari,26.147,89.687,Government,
Chilmari Community Clinic 02,Kurigram,Chilmari,25.557,89.677,Government,
Phulbari (Kurigram) Community Clinic 02,Kurigram,Phulbari,25.947,89.567,Government,
Nageshwari Community Clinic 02,Kurigram,Nageshwari,25.977,89.707,Government,
Rajarhat Community Clinic 02,Kurigram,Rajarhat,25.807,89.547,Government,
Rowmari Community Clinic 02,Kurigram,Rowmari,25.567,89.857,Government,
Ulipur Community Clinic 02,Kurigram,Ulipur,25.747,89.627,Government,
Char Rajibpur Community Clinic 02,Kurigram,Char Rajibpur,25.397,89.787,Government,
Phulchhari Community Clinic 02,Gaibandha,Phulchhari,25.217,89.617,Government,
Gobindaganj Community Clinic 02,Gaibandha,Gobindaganj,25.137,89.397,Government,
Palashbari Community Clinic 02,Gaibandha,Palashbari,25.287,89.347,Government,
Sadullapur Community Clinic 02,Gaibandha,Sadullapur,25.387,89.467,Government,
Saghata Community Clinic 02,Gaibandha,Saghata,25.107,89.587,Government,
Sundarganj Community Clinic 02,Gaibandha,Sundarganj,25.567,89.507,Government,
Aditmari Community Clinic 02,Lalmonirhat,Aditmari,25.927,89.357,Government,
Hatibandha Community Clinic 02,Lalmonirhat,Hatibandha,26.117,89.157,Government,
Kaliganj (Lalmonirhat) Community Clinic 02,Lalmonirhat,Kaliganj,25.987,89.217,Government,
Patgram Community Clinic 02,Lalmonirhat,Patgram,26.357,89.137,Government,
Dimla Community Clinic 02,Nilphamari,Dimla,26.127,88.927,Government,
Domar Community Clinic 02,Nilphamari,Domar,26.107,88.837,Government,
Jaldhaka Community Clinic 02,Nilphamari,Jaldhaka,25.967,88.997,Government,
Kishoreganj (Nilphamari) Community Clinic 02,Nilphamari,Kishoreganj,25.917,89.027,Government,
Saidpur Community Clinic 02,Nilphamari,Saidpur,25.777,88.897,Government,
Atwari Community Clinic 02,Panchagarh,Atwari,26.317,88.457,Government,
Boda Community Clinic 02,Panchagarh,Boda,26.197,88.607,Government,
Debiganj Community Clinic 02,Panchagarh,Debiganj,26.117,88.757,Government,
Tetulia Community Clinic 02,Panchagarh,Tetulia,26.487,88.347,Government,
Baliadangi Community Clinic 02,Thakurgaon,Baliadangi,26.107,88.277,Government,
Haripur Community Clinic 02,Thakurgaon,Haripur,25.817,88.237,Government,
Pirganj (Thakurgaon) Community Clinic 02,Thakurgaon,Pirganj,25.857,88.367,Government,
Ranisankail Community Clinic 02,Thakurgaon,Ranisankail,25.887,88.267,Government,
Rangpur Specialized Heart Unit,Rangpur,Sadar,25.751,89.245,Private,
Dinajpur Orthopedic Clinic,Dinajpur,Sadar,25.635,88.648,Private,
Kurigram Heart Center,Kurigram,Sadar,25.811,89.655,Private,
Gaibandha Mother & Child Lab,Gaibandha,Sadar,25.3325,89.545,Private,
Lalmonirhat Children Unit,Lalmonirhat,Sadar,25.916,89.447,Private,
Nilphamari Specialized Diagnostic,Nilphamari,Sadar,25.9425,88.8475,Private,
Panchagarh City Clinic,Panchagarh,Sadar,26.332,88.565,Private,
Thakurgaon Digital Lab,Thakurgaon,Sadar,26.032,88.465,Private,
Rangpur Eye Hospital 02,Rangpur,Sadar,25.762,89.232,Private,
Dinajpur General Lab 02,Dinajpur,Sadar,25.636,88.643,Private,
Kurigram Modern Diagnostic,Kurigram,Sadar,25.8125,89.6535,Private,
Gaibandha Surgical Unit 02,Gaibandha,Sadar,25.333,89.5435,Private,
Rangpur Medical (Outdoor unit 02),Rangpur,Rangpur Sadar,25.7536,89.2426,Government,
Dinajpur Medical (Emergency unit 02),Dinajpur,Dinajpur Sadar,25.6356,88.6426,Government,
Kurigram Sadar (Surgical Wing 02),Kurigram,Kurigram Sadar,25.8116,89.6521,Government,
Gaibandha Sadar (Cardiac unit 02),Gaibandha,Gaibandha Sadar,25.3316,89.5421,Government,
Lalmonirhat Sadar (Pediatric unit 02),Lalmonirhat,Lalmonirhat Sadar,25.9156,89.4451,Government,
Nilphamari Sadar (Maternity unit 02),Nilphamari,Nilphamari Sadar,25.9421,88.8451,Government,
Panchagarh Sadar (Emergency wing 02),Panchagarh,Panchagarh Sadar,26.3316,88.5621,Government,
Thakurgaon Sadar (Surgical unit 02),Thakurgaon,Thakurgaon Sadar,26.0316,88.4621,Government,
Badarganj Health Post 02,Rangpur,Badarganj,25.6756,89.0556,Government,
Gangachara Health Post 02,Rangpur,Gangachara,25.8556,89.2156,Government,
Kaunia Health Post 02,Rangpur,Kaunia,25.7756,89.4156,Government,
Mithapukur Health Post 02,Rangpur,Mithapukur,25.5756,89.2656,Government,
Pirgachha Health Post 02,Rangpur,Pirgachha,25.6656,89.3956,Government,
Pirganj (Rangpur) Health Post 02,Rangpur,Pirganj,25.4156,89.3156,Government,
Taraganj Health Post 02,Rangpur,Taraganj,25.8156,89.0156,Government,
Birganj Health Post 02,Dinajpur,Birganj,25.8556,88.6656,Government,
Biral Health Post 02,Dinajpur,Biral,25.6356,88.5556,Government,
Bochaganj Health Post 02,Dinajpur,Bochaganj,25.8056,88.4556,Government,
Chirirbandar Health Post 02,Dinajpur,Chirirbandar,25.6556,88.7856,Government,
Phulbari (Dinajpur) Health Post 02,Dinajpur,Phulbari,25.5156,88.8856,Government,
Ghoraghat Health Post 02,Dinajpur,Ghoraghat,25.2456,89.2856,Government,
Hakimpur Health Post 02,Dinajpur,Hakimpur,25.2856,89.1256,Government,
Kaharole Health Post 02,Dinajpur,Kaharole,25.7956,88.5956,Government,
Khansama Health Post 02,Dinajpur,Khansama,25.9256,88.7456,Government,
Nawabganj (Dinajpur) Health Post 02,Dinajpur,Nawabganj,25.4156,89.0856,Government,
Parbatipur Health Post 02,Dinajpur,Parbatipur,25.6556,88.9256,Government,
Bhurungamari Health Post 02,Kurigram,Bhurungamari,26.1456,89.6856,Government,
Chilmari Health Post 02,Kurigram,Chilmari,25.5556,89.6756,Government,
Phulbari (Kurigram) Health Post 02,Kurigram,Phulbari,25.9456,89.5656,Government,
Nageshwari Health Post 02,Kurigram,Nageshwari,25.9756,89.7056,Government,
Rajarhat Health Post 02,Kurigram,Rajarhat,25.8056,89.5456,Government,
Rowmari Health Post 02,Kurigram,Rowmari,25.5656,89.8556,Government,
Ulipur Health Post 02,Kurigram,Ulipur,25.7456,89.6256,Government,
Char Rajibpur Health Post 02,Kurigram,Char Rajibpur,25.3956,89.7856,Government,
Gaibandha Health Post 02,Gaibandha,Sadar,25.3321,89.5426,Government,
Phulchhari Health Post 02,Gaibandha,Phulchhari,25.2156,89.6156,Government,
Gobindaganj Health Post 02,Gaibandha,Gobindaganj,25.1356,89.3956,Government,
Palashbari Health Post 02,Gaibandha,Palashbari,25.2856,89.3456,Government,
Sadullapur Health Post 02,Gaibandha,Sadullapur,25.3856,89.4656,Government,
Saghata Health Post 02,Gaibandha,Saghata,25.1056,89.5856,Government,
Sundarganj Health Post 02,Gaibandha,Sundarganj,25.5656,89.5056,Government,
Aditmari Health Post 02,Lalmonirhat,Aditmari,25.9256,89.3556,Government,
Hatibandha Health Post 02,Lalmonirhat,Hatibandha,26.1156,89.1556,Government,
Kaliganj (Lalmonirhat) Health Post 02,Lalmonirhat,Kaliganj,25.9856,89.2156,Government,
Patgram Health Post 02,Lalmonirhat,Patgram,26.3556,89.1356,Government,
Dimla Health Post 02,Nilphamari,Dimla,26.1256,88.9256,Government,
Domar Health Post 02,Nilphamari,Domar,26.1056,88.8356,Government,
Jaldhaka Health Post 02,Nilphamari,Jaldhaka,25.9656,88.9956,Government,
Kishoreganj (Nilphamari) Health Post 02,Nilphamari,Kishoreganj,25.9156,89.0256,Government,
Saidpur Health Post 02,Nilphamari,Saidpur,25.7756,88.8956,Government,
Atwari Health Post 02,Panchagarh,Atwari,26.3156,88.4556,Government,
Boda Health Post 02,Panchagarh,Boda,26.1956,88.6056,Government,
Debiganj Health Post 02,Panchagarh,Debiganj,26.1156,88.7556,Government,
Tetulia Health Post 02,Panchagarh,Tetulia,26.4856,88.3456,Government,
Baliadangi Health Post 02,Thakurgaon,Baliadangi,26.1056,88.2756,Government,
Haripur Health Post 02,Thakurgaon,Haripur,25.8156,88.2356,Government,
Pirganj (Thakurgaon) Health Post 02,Thakurgaon,Pirganj,25.8556,88.3656,Government,
Ranisankail Health Post 02,Thakurgaon,Ranisankail,25.8856,88.2656,Government,
Badarganj Satellite Clinic 01,Rangpur,Badarganj,25.674,89.054,Government,
Gangachara Satellite Clinic 01,Rangpur,Gangachara,25.854,89.214,Government,
Kaunia Satellite Clinic 01,Rangpur,Kaunia,25.774,89.414,Government,
Mithapukur Satellite Clinic 01,Rangpur,Mithapukur,25.574,89.264,Government,
Pirgachha Satellite Clinic 01,Rangpur,Pirgachha,25.664,89.394,Government,
Pirganj (Rangpur) Satellite Clinic 01,Rangpur,Pirganj,25.414,89.314,Government,
Taraganj Satellite Clinic 01,Rangpur,Taraganj,25.814,89.014,Government,
Birganj Satellite Clinic 01,Dinajpur,Birganj,25.854,88.664,Government,
Biral Satellite Clinic 01,Dinajpur,Biral,25.634,88.554,Government,
Bochaganj Satellite Clinic 01,Dinajpur,Bochaganj,25.804,88.454,Government,
Chirirbandar Satellite Clinic 01,Dinajpur,Chirirbandar,25.654,88.784,Government,
Phulbari (Dinajpur) Satellite Clinic 01,Dinajpur,Phulbari,25.514,88.884,Government,
Ghoraghat Satellite Clinic 01,Dinajpur,Ghoraghat,25.244,89.284,Government,
Hakimpur Satellite Clinic 01,Dinajpur,Hakimpur,25.284,89.124,Government,
Kaharole Satellite Clinic 01,Dinajpur,Kaharole,25.794,88.594,Government,
Khansama Satellite Clinic 01,Dinajpur,Khansama,25.924,88.744,Government,
Nawabganj (Dinajpur) Satellite Clinic 01,Dinajpur,Nawabganj,25.414,89.084,Government,
Parbatipur Satellite Clinic 01,Dinajpur,Parbatipur,25.654,88.924,Government,
Bhurungamari Satellite Clinic 01,Kurigram,Bhurungamari,26.144,89.684,Government,
Chilmari Satellite Clinic 01,Kurigram,Chilmari,25.554,89.674,Government,
Phulbari (Kurigram) Satellite Clinic 01,Kurigram,Phulbari,25.944,89.564,Government,
Nageshwari Satellite Clinic 01,Kurigram,Nageshwari,25.974,89.704,Government,
Rajarhat Satellite Clinic 01,Kurigram,Rajarhat,25.804,89.544,Government,
Rowmari Satellite Clinic 01,Kurigram,Rowmari,25.564,89.854,Government,
Ulipur Satellite Clinic 01,Kurigram,Ulipur,25.744,89.624,Government,
Char Rajibpur Satellite Clinic 01,Kurigram,Char Rajibpur,25.394,89.784,Government,
Gaibandha Satellite Clinic 01,Gaibandha,Sadar,25.331,89.541,Government,
Phulchhari Satellite Clinic 01,Gaibandha,Phulchhari,25.214,89.614,Government,
Gobindaganj Satellite Clinic 01,Gaibandha,Gobindaganj,25.134,89.394,Government,
Palashbari Satellite Clinic 01,Gaibandha,Palashbari,25.284,89.344,Government,
Sadullapur Satellite Clinic 01,Gaibandha,Sadullapur,25.384,89.464,Government,
Saghata Satellite Clinic 01,Gaibandha,Saghata,25.104,89.584,Government,
Sundarganj Satellite Clinic 01,Gaibandha,Sundarganj,25.564,89.504,Government,
Aditmari Satellite Clinic 01,Lalmonirhat,Aditmari,25.924,89.354,Government,
Hatibandha Satellite Clinic 01,Lalmonirhat,Hatibandha,26.114,89.154,Government,
Kaliganj (Lalmonirhat) Satellite Clinic 01,Lalmonirhat,Kaliganj,25.984,89.214,Government,
Patgram Satellite Clinic 01,Lalmonirhat,Patgram,26.354,89.134,Government,
Dimla Satellite Clinic 01,Nilphamari,Dimla,26.124,88.924,Government,
Domar Satellite Clinic 01,Nilphamari,Domar,26.104,88.834,Government,
Jaldhaka Satellite Clinic 01,Nilphamari,Jaldhaka,25.964,88.994,Government,
Kishoreganj (Nilphamari) Satellite Clinic 01,Nilphamari,Kishoreganj,25.914,89.024,Government,
Saidpur Satellite Clinic 01,Nilphamari,Saidpur,25.774,88.894,Government,
Atwari Satellite Clinic 01,Panchagarh,Atwari,26.314,88.454,Government,
Boda Satellite Clinic 01,Panchagarh,Boda,26.194,88.604,Government,
Debiganj Satellite Clinic 01,Panchagarh,Debiganj,26.114,88.754,Government,
Tetulia Satellite Clinic 01,Panchagarh,Tetulia,26.484,88.344,Government,
Baliadangi Satellite Clinic 01,Thakurgaon,Baliadangi,26.104,88.274,Government,
Haripur Satellite Clinic 01,Thakurgaon,Haripur,25.814,88.234,Government,
Pirganj (Thakurgaon) Satellite Clinic 01,Thakurgaon,Pirganj,25.854,88.364,Government,
Ranisankail Satellite Clinic 01,Thakurgaon,Ranisankail,25.884,88.264,Government,
Badarganj Community Clinic 03,Rangpur,Badarganj,25.678,89.058,Government,
Gangachara Community Clinic 03,Rangpur,Gangachara,25.858,89.218,Government,
Kaunia Community Clinic 03,Rangpur,Kaunia,25.778,89.418,Government,
Mithapukur Community Clinic 03,Rangpur,Mithapukur,25.578,89.268,Government,
Pirgachha Community Clinic 03,Rangpur,Pirgachha,25.668,89.398,Government,
Pirganj (Rangpur) Community Clinic 03,Rangpur,Pirganj,25.418,89.318,Government,
Taraganj Community Clinic 03,Rangpur,Taraganj,25.818,89.018,Government,
Birganj Community Clinic 03,Dinajpur,Birganj,25.858,88.668,Government,
Biral Community Clinic 03,Dinajpur,Biral,25.638,88.558,Government,
Bochaganj Community Clinic 03,Dinajpur,Bochaganj,25.808,88.458,Government,
Chirirbandar Community Clinic 03,Dinajpur,Chirirbandar,25.658,88.788,Government,
Phulbari (Dinajpur) Community Clinic 03,Dinajpur,Phulbari,25.518,88.888,Government,
Ghoraghat Community Clinic 03,Dinajpur,Ghoraghat,25.248,89.288,Government,
Hakimpur Community Clinic 03,Dinajpur,Hakimpur,25.288,89.128,Government,
Kaharole Community Clinic 03,Dinajpur,Kaharole,25.798,88.598,Government,
Khansama Community Clinic 03,Dinajpur,Khansama,25.928,88.748,Government,
Nawabganj (Dinajpur) Community Clinic 03,Dinajpur,Nawabganj,25.418,89.088,Government,
Parbatipur Community Clinic 03,Dinajpur,Parbatipur,25.658,88.928,Government,
Bhurungamari Community Clinic 03,Kurigram,Bhurungamari,26.148,89.688,Government,
Chilmari Community Clinic 03,Kurigram,Chilmari,25.558,89.678,Government,
Phulbari (Kurigram) Community Clinic 03,Kurigram,Phulbari,25.948,89.568,Government,
Nageshwari Community Clinic 03,Kurigram,Nageshwari,25.978,89.708,Government,
Rajarhat Community Clinic 03,Kurigram,Rajarhat,25.808,89.548,Government,
Rowmari Community Clinic 03,Kurigram,Rowmari,25.568,89.858,Government,
Ulipur Community Clinic 03,Kurigram,Ulipur,25.748,89.628,Government,
Char Rajibpur Community Clinic 03,Kurigram,Char Rajibpur,25.398,89.788,Government,
Phulchhari Community Clinic 03,Gaibandha,Phulchhari,25.218,89.618,Government,
Gobindaganj Community Clinic 03,Gaibandha,Gobindaganj,25.138,89.398,Government,
Palashbari Community Clinic 03,Gaibandha,Palashbari,25.288,89.348,Government,
Sadullapur Community Clinic 03,Gaibandha,Sadullapur,25.388,89.468,Government,
Saghata Community Clinic 03,Gaibandha,Saghata,25.108,89.588,Government,
Sundarganj Community Clinic 03,Gaibandha,Sundarganj,25.568,89.508,Government,
Aditmari Community Clinic 03,Lalmonirhat,Aditmari,25.928,89.358,Government,
Hatibandha Community Clinic 03,Lalmonirhat,Hatibandha,26.118,89.158,Government,
Kaliganj (Lalmonirhat) Community Clinic 03,Lalmonirhat,Kaliganj,25.988,89.218,Government,
Patgram Community Clinic 03,Lalmonirhat,Patgram,26.358,89.138,Government,
Dimla Community Clinic 03,Nilphamari,Dimla,26.128,88.928,Government,
Domar Community Clinic 03,Nilphamari,Domar,26.108,88.838,Government,
Jaldhaka Community Clinic 03,Nilphamari,Jaldhaka,25.968,88.998,Government,
Kishoreganj (Nilphamari) Community Clinic 03,Nilphamari,Kishoreganj,25.918,89.028,Government,
Saidpur Community Clinic 03,Nilphamari,Saidpur,25.778,88.898,Government,
Atwari Community Clinic 03,Panchagarh,Atwari,26.318,88.458,Government,
Boda Community Clinic 03,Panchagarh,Boda,26.198,88.608,Government,
Debiganj Community Clinic 03,Panchagarh,Debiganj,26.118,88.758,Government,
Tetulia Community Clinic 03,Panchagarh,Tetulia,26.488,88.348,Government,
Baliadangi Community Clinic 03,Thakurgaon,Baliadangi,26.108,88.278,Government,
Haripur Community Clinic 03,Thakurgaon,Haripur,25.818,88.238,Government,
Pirganj (Thakurgaon) Community Clinic 03,Thakurgaon,Pirganj,25.858,88.368,Government,
Ranisankail Community Clinic 03,Thakurgaon,Ranisankail,25.888,88.268,Government,
Badarganj Community Clinic 04,Rangpur,Badarganj,25.679,89.059,Government,
Gangachara Community Clinic 04,Rangpur,Gangachara,25.859,89.219,Government,
Kaunia Community Clinic 04,Rangpur,Kaunia,25.779,89.419,Government,
Mithapukur Community Clinic 04,Rangpur,Mithapukur,25.579,89.269,Government,
Pirgachha Community Clinic 04,Rangpur,Pirgachha,25.669,89.399,Government,
Pirganj (Rangpur) Community Clinic 04,Rangpur,Pirganj,25.419,89.319,Government,
Taraganj Community Clinic 04,Rangpur,Taraganj,25.819,89.019,Government,
Birganj Community Clinic 04,Dinajpur,Birganj,25.859,88.669,Government,
Biral Community Clinic 04,Dinajpur,Biral,25.639,88.559,Government,
Bochaganj Community Clinic 04,Dinajpur,Bochaganj,25.809,88.459,Government,
Chirirbandar Community Clinic 04,Dinajpur,Chirirbandar,25.659,88.789,Government,
Phulbari (Dinajpur) Community Clinic 04,Dinajpur,Phulbari,25.519,88.889,Government,
Ghoraghat Community Clinic 04,Dinajpur,Ghoraghat,25.249,89.289,Government,
Hakimpur Community Clinic 04,Dinajpur,Hakimpur,25.289,89.129,Government,
Kaharole Community Clinic 04,Dinajpur,Kaharole,25.799,88.599,Government,
Khansama Community Clinic 04,Dinajpur,Khansama,25.929,88.749,Government,
Nawabganj (Dinajpur) Community Clinic 04,Dinajpur,Nawabganj,25.419,89.089,Government,
Parbatipur Community Clinic 04,Dinajpur,Parbatipur,25.659,88.929,Government,
Bhurungamari Community Clinic 04,Kurigram,Bhurungamari,26.149,89.689,Government,
Chilmari Community Clinic 04,Kurigram,Chilmari,25.559,89.679,Government,
Phulbari (Kurigram) Community Clinic 04,Kurigram,Phulbari,25.949,89.569,Government,
Nageshwari Community Clinic 04,Kurigram,Nageshwari,25.979,89.709,Government,
Rajarhat Community Clinic 04,Kurigram,Rajarhat,25.809,89.549,Government,
Rowmari Community Clinic 04,Kurigram,Rowmari,25.569,89.859,Government,
Ulipur Community Clinic 04,Kurigram,Ulipur,25.749,89.629,Government,
Char Rajibpur Community Clinic 04,Kurigram,Char Rajibpur,25.399,89.789,Government,
Phulchhari Community Clinic 04,Gaibandha,Phulchhari,25.219,89.619,Government,
Gobindaganj Community Clinic 04,Gaibandha,Gobindaganj,25.139,89.399,Government,
Palashbari Community Clinic 04,Gaibandha,Palashbari,25.289,89.349,Government,
Sadullapur Community Clinic 04,Gaibandha,Sadullapur,25.389,89.469,Government,
Saghata Community Clinic 04,Gaibandha,Saghata,25.109,89.589,Government,
Sundarganj Community Clinic 04,Gaibandha,Sundarganj,25.569,89.509,Government,
Aditmari Community Clinic 04,Lalmonirhat,Aditmari,25.929,89.359,Government,
Hatibandha Community Clinic 04,Lalmonirhat,Hatibandha,26.119,89.159,Government,
Kaliganj (Lalmonirhat) Community Clinic 04,Lalmonirhat,Kaliganj,25.989,89.219,Government,
Patgram Community Clinic 04,Lalmonirhat,Patgram,26.359,89.139,Government,
Dimla Community Clinic 04,Nilphamari,Dimla,26.129,88.929,Government,
Domar Community Clinic 04,Nilphamari,Domar,26.109,88.839,Government,
Jaldhaka Community Clinic 04,Nilphamari,Jaldhaka,25.969,88.999,Government,
Kishoreganj (Nilphamari) Community Clinic 04,Nilphamari,Kishoreganj,25.919,89.029,Government,
Saidpur Community Clinic 04,Nilphamari,Saidpur,25.779,88.899,Government,
Atwari Community Clinic 04,Panchagarh,Atwari,26.319,88.459,Government,
Boda Community Clinic 04,Panchagarh,Boda,26.199,88.609,Government,
Debiganj Community Clinic 04,Panchagarh,Debiganj,26.119,88.759,Government,
Tetulia Community Clinic 04,Panchagarh,Tetulia,26.489,88.349,Government,
Baliadangi Community Clinic 04,Thakurgaon,Baliadangi,26.109,88.279,Government,
Haripur Community Clinic 04,Thakurgaon,Haripur,25.819,88.239,Government,
Pirganj (Thakurgaon) Community Clinic 04,Thakurgaon,Pirganj,25.859,88.369,Government,
Ranisankail Community Clinic 04,Thakurgaon,Ranisankail,25.889,88.269,Government,
Badarganj Satellite Clinic 02,Rangpur,Badarganj,25.6745,89.0545,Government,
Gangachara Satellite Clinic 02,Rangpur,Gangachara,25.8545,89.2145,Government,
Kaunia Satellite Clinic 02,Rangpur,Kaunia,25.7745,89.4145,Government,
Mithapukur Satellite Clinic 02,Rangpur,Mithapukur,25.5745,89.2645,Government,
Pirgachha Satellite Clinic 02,Rangpur,Pirgachha,25.6645,89.3945,Government,
Pirganj (Rangpur) Satellite Clinic 02,Rangpur,Pirganj,25.4145,89.3145,Government,
Taraganj Satellite Clinic 02,Rangpur,Taraganj,25.8145,89.0145,Government,
Birganj Satellite Clinic 02,Dinajpur,Birganj,25.8545,88.6645,Government,
Biral Satellite Clinic 02,Dinajpur,Biral,25.6345,88.5545,Government,
Bochaganj Satellite Clinic 02,Dinajpur,Bochaganj,25.8045,88.4545,Government,
Chirirbandar Satellite Clinic 02,Dinajpur,Chirirbandar,25.6545,88.7845,Government,
Phulbari (Dinajpur) Satellite Clinic 02,Dinajpur,Phulbari,25.5145,88.8845,Government,
Ghoraghat Satellite Clinic 02,Dinajpur,Ghoraghat,25.2445,89.2845,Government,
Hakimpur Satellite Clinic 02,Dinajpur,Hakimpur,25.2845,89.1245,Government,
Kaharole Satellite Clinic 02,Dinajpur,Kaharole,25.7945,88.5945,Government,
Khansama Satellite Clinic 02,Dinajpur,Khansama,25.9245,88.7445,Government,
Nawabganj (Dinajpur) Satellite Clinic 02,Dinajpur,Nawabganj,25.4145,89.0845,Government,
Parbatipur Satellite Clinic 02,Dinajpur,Parbatipur,25.6545,88.9245,Government,
Bhurungamari Satellite Clinic 02,Kurigram,Bhurungamari,26.1445,89.6845,Government,
Chilmari Satellite Clinic 02,Kurigram,Chilmari,25.5545,89.6745,Government,
Phulbari (Kurigram) Satellite Clinic 02,Kurigram,Phulbari,25.9445,89.5645,Government,
Nageshwari Satellite Clinic 02,Kurigram,Nageshwari,25.9745,89.7045,Government,
Rajarhat Satellite Clinic 02,Kurigram,Rajarhat,25.8045,89.5445,Government,
Rowmari Satellite Clinic 02,Kurigram,Rowmari,25.5645,89.8545,Government,
Ulipur Satellite Clinic 02,Kurigram,Ulipur,25.7445,89.6245,Government,
Char Rajibpur Satellite Clinic 02,Kurigram,Char Rajibpur,25.3945,89.7845,Government,
Gaibandha Satellite Clinic 02,Gaibandha,Sadar,25.3311,89.5411,Government,
Phulchhari Satellite Clinic 02,Gaibandha,Phulchhari,25.2145,89.6145,Government,
Gobindaganj Satellite Clinic 02,Gaibandha,Gobindaganj,25.1345,89.3945,Government,
Palashbari Satellite Clinic 02,Gaibandha,Palashbari,25.2845,89.3445,Government,
Sadullapur Satellite Clinic 02,Gaibandha,Sadullapur,25.3845,89.4645,Government,
Saghata Satellite Clinic 02,Gaibandha,Saghata,25.1045,89.5845,Government,
Sundarganj Satellite Clinic 02,Gaibandha,Sundarganj,25.5645,89.5045,Government,
Aditmari Satellite Clinic 02,Lalmonirhat,Aditmari,25.9245,89.3545,Government,
Hatibandha Satellite Clinic 02,Lalmonirhat,Hatibandha,26.1145,89.1545,Government,
Kaliganj (Lalmonirhat) Satellite Clinic 02,Lalmonirhat,Kaliganj,25.9845,89.2145,Government,
Patgram Satellite Clinic 02,Lalmonirhat,Patgram,26.3545,89.1345,Government,
Dimla Satellite Clinic 02,Nilphamari,Dimla,26.1245,88.9245,Government,
Domar Satellite Clinic 02,Nilphamari,Domar,26.1045,88.8345,Government,
Jaldhaka Satellite Clinic 02,Nilphamari,Jaldhaka,25.9645,88.9945,Government,
Kishoreganj (Nilphamari) Satellite Clinic 02,Nilphamari,Kishoreganj,25.9145,89.0245,Government,
Saidpur Satellite Clinic 02,Nilphamari,Saidpur,25.7745,88.8945,Government,
Atwari Satellite Clinic 02,Panchagarh,Atwari,26.3145,88.4545,Government,
Boda Satellite Clinic 02,Panchagarh,Boda,26.1945,88.6045,Government,
Debiganj Satellite Clinic 02,Panchagarh,Debiganj,26.1145,88.7545,Government,
Tetulia Satellite Clinic 02,Panchagarh,Tetulia,26.4845,88.3445,Government,
Baliadangi Satellite Clinic 02,Thakurgaon,Baliadangi,26.1045,88.2745,Government,
Haripur Satellite Clinic 02,Thakurgaon,Haripur,25.8145,88.2345,Government,
Pirganj (Thakurgaon) Satellite Clinic 02,Thakurgaon,Pirganj,25.8545,88.3645,Government,
Ranisankail Satellite Clinic 02,Thakurgaon,Ranisankail,25.8845,88.2645,Government,
Badarganj specialized dental,Rangpur,Badarganj,25.6728,89.0528,Private,
Gangachara general lab 02,Rangpur,Gangachara,25.8528,89.2128,Private,
Kaunia heart clinic 02,Rangpur,Kaunia,25.7728,89.4128,Private,
